states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
New York,Clarkstown Town,"80,186",94.8,5.49954128440367,5.0,33.7,56.1,777.3285714285714,133.4,798.0586206896552,31.2
New Jersey,Clifton,"84,684",217.3,5.49954128440367,15.4,94.5,107.5,777.3285714285714,422.7,798.0586206896552,166.5
Michigan,Clinton Township,"97,001",300.0,5.49954128440367,39.2,59.8,201.0,777.3285714285714,491.7,798.0586206896552,186.6
California,Clovis,"97,828",223.9,3.1,34.8,58.3,127.8,777.3285714285714,976.2,798.0586206896552,393.5
Texas,College Station,"96,567",508.5,3.1,35.2,39.4,430.8,777.3285714285714,596.5,798.0586206896552,62.1
New York,Colonie Town,"77,853",59.1,5.49954128440367,28.092157534246574,37.2,21.8,777.3285714285714,274.9,798.0586206896552,71.9
California,Compton,"98,057",342.0057553956834,21.4,33.7,436.5,750.6,777.3285714285714,585.4,798.0586206896552,835.2
Arkansas,Conway,"60,700",415.2,1.6,47.8,125.2,240.5,777.3285714285714,675.5,798.0586206896552,166.4
Minnesota,Coon Rapids,"62,301",342.0057553956834,1.6,28.092157534246574,25.7,67.4,777.3285714285714,311.4,798.0586206896552,96.3
Iowa,Council Bluffs,"62,708",342.0057553956834,1.6,106.8,129.2,948.8,777.3285714285714,521.5048780487805,798.0586206896552,754.3
Rhode Island,Cranston,"80,315",161.9,2.5,19.9,42.3,97.1,777.3285714285714,488.1,798.0586206896552,191.7
Connecticut,Danbury,"81,891",133.1,1.2,28.1,55.0,48.8,777.3285714285714,350.5,798.0586206896552,90.4
Florida,Davie,"94,952",388.6,5.3,24.2,77.9,281.2,777.3285714285714,702.5,798.0586206896552,253.8
California,Davis,"66,628",142.6,5.49954128440367,30.0,46.5,66.0,777.3285714285714,585.3,798.0586206896552,130.6
Florida,Daytona Beach,"61,861",342.0057553956834,6.5,37.2,289.4,822.8,777.3285714285714,521.5048780487805,798.0586206896552,559.3
Michigan,Dearborn,"97,215",331.2,1.0,24.7,110.1,195.4,777.3285714285714,475.2,798.0586206896552,367.2
Illinois,Decatur,"76,131",462.4,7.9,34.2,139.2,281.1,777.3285714285714,521.5048780487805,798.0586206896552,107.7
