states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
South Dakota,Rapid City,"69,979",607.3,5.7,158.6,78.6,364.4,777.3285714285714,844.5,798.0586206896552,328.7
Pennsylvania,Reading,"88,557",935.0,16.9,49.7,431.4,437.0,777.3285714285714,521.5048780487805,798.0586206896552,605.3
California,Redding,"90,974",774.9,3.3,72.5,144.0,555.1,777.3285714285714,521.5048780487805,798.0586206896552,551.8
California,Redlands,"70,399",313.9,2.8,21.3,106.5,183.2,777.3285714285714,863.6,798.0586206896552,568.2
California,Redondo Beach,"67,856",280.0,5.9,8.8,75.2,190.1,777.3285714285714,392.0,798.0586206896552,157.7
California,Redwood City,"78,466",265.1,5.49954128440367,16.6,112.2,136.4,777.3285714285714,670.4,798.0586206896552,195.0
Washington,Renton,"93,722",302.0,2.1,28.8,122.7,148.3,777.3285714285714,957.1,798.0586206896552,658.3
New Mexico,Rio Rancho,"89,462",225.8,2.2,25.7,23.5,174.4,777.3285714285714,406.9,798.0586206896552,173.3
Virginia,Roanoke,"97,780",554.3,9.2,40.9,144.2,360.0,777.3285714285714,961.3,798.0586206896552,253.6
South Carolina,Rock Hill,"68,064",656.7,11.8,52.9,164.6,427.5,777.3285714285714,592.1,798.0586206896552,240.9
Georgia,Roswell,"92,141",143.3,1.1,7.6,68.4,66.2,777.3285714285714,433.0,798.0586206896552,102.0
California,San Clemente,"65,089",115.2,5.49954128440367,9.2,36.9,69.1,777.3285714285714,268.9,926.4,93.7
California,San Leandro,"86,869",503.1,2.3,17.3,312.0,171.5,777.3285714285714,804.7,798.0586206896552,911.7
California,San Marcos,"85,810",264.5,2.3,12.8,66.4,183.0,777.3285714285714,426.5,798.0586206896552,266.9
California,San Mateo,"99,303",262.8,5.49954128440367,13.1,81.6,168.2,777.3285714285714,287.0,798.0586206896552,144.0
California,San Ramon,"74,013",60.8,5.49954128440367,4.1,17.6,39.2,777.3285714285714,197.3,855.3,95.9
Georgia,Sandy Springs,"97,890",191.0,3.1,5.1,100.1,82.7,777.3285714285714,724.3,798.0586206896552,173.7
Utah,Sandy,"90,405",162.6,2.2,26.5,38.7,95.1,777.3285714285714,501.1,798.0586206896552,157.1
California,Santa Barbara,"89,871",403.9,5.49954128440367,59.0,105.7,239.2,777.3285714285714,620.9,798.0586206896552,148.0
California,Santa Cruz,"60,902",711.0,4.9,55.8,136.3,513.9,777.3285714285714,865.3,798.0586206896552,433.5
New Mexico,Santa Fe,"68,751",481.4,2.9,21.8,158.5,298.2,777.3285714285714,521.5048780487805,798.0586206896552,253.1
California,Santa Monica,"91,215",433.0,2.2,25.2,165.5,240.1,777.3285714285714,642.4,798.0586206896552,195.1
Illinois,Schaumburg,"74,585",91.2,5.49954128440367,17.4,24.1,49.6,777.3285714285714,266.8,798.0586206896552,83.1
New York,Schenectady,"66,631",939.5,10.5,48.0,298.7,582.3,777.3285714285714,521.5048780487805,798.0586206896552,213.1
Pennsylvania,Scranton,"76,118",331.1,5.49954128440367,30.2,169.5,131.4,777.3285714285714,842.1,798.0586206896552,152.4
Kansas,Shawnee,"63,542",133.8,5.49954128440367,17.3,18.9,97.6,777.3285714285714,239.2,798.0586206896552,218.8
Michigan,Shelby Township,"73,960",116.3,5.49954128440367,27.0,12.2,77.1,777.3285714285714,220.4,798.0586206896552,59.5
Iowa,Sioux City,"83,289",329.0,2.4,36.0,55.2,235.3,777.3285714285714,745.6,798.0586206896552,244.9
Illinois,Skokie,"65,096",205.8,5.49954128440367,26.1,56.8,122.9,777.3285714285714,436.3,798.0586206896552,93.7
Massachusetts,Somerville,"77,200",348.4,5.49954128440367,29.8,106.2,212.4,777.3285714285714,450.8,798.0586206896552,165.8
California,South Gate,"95,966",576.2,9.4,15.6,276.1,275.1,777.3285714285714,427.2,798.0586206896552,956.6
California,South San Francisco,"65,006",170.8,5.49954128440367,18.5,44.6,107.7,777.3285714285714,540.0,798.0586206896552,289.2
Michigan,Southfield,"72,253",487.2,2.8,47.1,188.2,249.1,777.3285714285714,865.0,798.0586206896552,545.3
Nevada,Sparks,"92,387",253.3,1.1,34.6,73.6,144.0,777.3285714285714,659.2,798.0586206896552,259.8
Washington,Spokane Valley,"91,164",215.0,1.1,34.0,73.5,106.4,777.3285714285714,975.2,798.0586206896552,473.9
Arkansas,Springdale,"71,668",463.2,1.4,79.5,41.9,340.5,777.3285714285714,637.7,798.0586206896552,203.7
Ohio,Springfield,"60,329",618.3,8.3,63.0,295.0,252.0,777.3285714285714,521.5048780487805,798.0586206896552,283.4
Oregon,Springfield,"60,119",173.0,5.49954128440367,28.3,49.9,94.8,777.3285714285714,687.0,798.0586206896552,377.6
Missouri,St. Charles,"66,723",151.4,1.5,10.5,34.5,104.9,777.3285714285714,332.7,798.0586206896552,95.9
Utah,St. George,"75,780",204.5,5.49954128440367,35.6,30.4,138.6,777.3285714285714,405.1,798.0586206896552,114.8
Missouri,St. Joseph,"77,330",417.7,1.3,28.4,117.7,270.3,777.3285714285714,521.5048780487805,798.0586206896552,479.8
Texas,Sugar Land,"82,924",131.4,5.49954128440367,4.8,44.6,82.0,777.3285714285714,348.5,798.0586206896552,42.2
Florida,Sunrise,"87,168",263.9,1.1,21.8,107.8,133.1,777.3285714285714,916.6,798.0586206896552,164.1
Florida,Tamarac,"62,382",306.2,8.0,20.8,118.6,158.7,777.3285714285714,979.4,798.0586206896552,157.1
Michigan,Taylor,"62,534",484.5,1.6,49.6,95.9,337.4,777.3285714285714,900.3,798.0586206896552,406.2
Texas,Temple,"68,194",296.2,1.5,32.3,108.5,154.0,777.3285714285714,521.5048780487805,798.0586206896552,130.5
Indiana,Terre Haute,"61,152",312.3,6.5,47.4,139.0,119.4,777.3285714285714,521.5048780487805,798.0586206896552,462.8
New Jersey,Toms River Township,"92,131",87.9,1.1,3.3,43.4,40.2,777.3285714285714,694.7,798.0586206896552,41.2
California,Tracy,"85,047",170.5,4.7,9.4,77.6,78.8,777.3285714285714,333.9,798.0586206896552,337.5
New Jersey,Trenton,"85,317",342.0057553956834,28.1,27.0,676.3,734.9,777.3285714285714,521.5048780487805,798.0586206896552,549.7
Michigan,Troy,"81,567",73.6,2.5,11.0,15.9,44.1,777.3285714285714,221.9,798.0586206896552,131.2
California,Tulare,"60,848",617.9,9.9,16.4,116.7,475.0,777.3285714285714,521.5048780487805,798.0586206896552,545.6
California,Turlock,"69,730",638.2,2.9,28.7,139.1,467.5,777.3285714285714,894.9,798.0586206896552,730.0
Alabama,Tuscaloosa,"91,973",519.7,4.3,40.2,184.8,290.3,777.3285714285714,521.5048780487805,798.0586206896552,219.6
California,Tustin,"77,400",147.3,5.49954128440367,14.2,46.5,86.6,777.3285714285714,310.1,798.0586206896552,169.3
California,Union City,"71,089",330.6,5.49954128440367,12.7,144.9,173.0,777.3285714285714,604.9,798.0586206896552,431.9
New Jersey,Union City,"67,518",370.3,1.5,3.0,157.0,208.8,777.3285714285714,356.9,798.0586206896552,197.0
California,Upland,"75,531",195.9,5.49954128440367,10.6,88.7,96.6,777.3285714285714,838.1,798.0586206896552,484.6
Pennsylvania,Upper Darby Township,"82,978",623.1,3.6,19.3,325.4,274.8,777.3285714285714,268.7,798.0586206896552,136.2
New York,Utica,"62,445",658.2,1.6,36.8,201.8,418.0,777.3285714285714,946.4,798.0586206896552,158.5
California,Vacaville,"93,951",261.8,3.2,25.5,77.7,155.4,777.3285714285714,339.5,798.0586206896552,183.1
Texas,Victoria,"64,076",632.1,7.8,48.4,73.4,502.5,777.3285714285714,927.0,798.0586206896552,160.7
New Jersey,Vineland,"61,252",367.3,1.6,11.4,107.8,246.5,777.3285714285714,521.5048780487805,798.0586206896552,70.2
California,Vista,"96,087",483.9,1.0,26.0,149.9,307.0,777.3285714285714,455.8,798.0586206896552,342.4
California,Walnut Creek,"65,816",127.6,5.49954128440367,4.6,28.9,94.2,777.3285714285714,677.6,798.0586206896552,214.2
Massachusetts,Waltham,"61,725",236.5,5.49954128440367,19.4,38.9,178.2,777.3285714285714,309.4,988.3,77.8
Georgia,Warner Robins,"69,231",528.7,8.7,30.3,203.7,286.0,777.3285714285714,521.5048780487805,798.0586206896552,213.8
Rhode Island,Warwick,"82,282",124.0,1.2,18.2,35.2,69.3,777.3285714285714,405.9,798.0586206896552,115.5
Michigan,Waterford Township,"72,224",195.2,5.49954128440367,26.3,44.3,124.6,777.3285714285714,412.6,798.0586206896552,131.5
Iowa,Waterloo,"68,919",682.0,5.8,92.9,100.1,483.2,777.3285714285714,521.5048780487805,798.0586206896552,139.3
Illinois,Waukegan,"89,468",469.4,2.2,52.5,178.8,235.8,777.3285714285714,698.6,798.0586206896552,71.5
Wisconsin,Waukesha,"71,049",150.6,1.4,36.6,33.8,78.8,777.3285714285714,327.9,798.0586206896552,45.0
Wisconsin,West Allis,"60,870",313.8,5.49954128440367,18.1,159.4,136.4,777.3285714285714,906.9,798.0586206896552,216.9
Michigan,West Bloomfield Township,"65,157",55.3,3.1,3.1,13.8,35.3,777.3285714285714,227.1,813.4,18.4
Connecticut,West Hartford,"63,487",72.5,5.49954128440367,3.2,55.1,14.2,777.3285714285714,382.8,798.0586206896552,163.8
Michigan,Westland,"83,299",405.8,1.2,73.2,96.0,235.3,777.3285714285714,690.3,798.0586206896552,396.2
California,Westminster,"91,908",309.0,2.2,9.8,95.7,201.3,777.3285714285714,507.0,798.0586206896552,351.4
Florida,Weston,"67,452",91.9,3.0,7.4,20.8,60.8,980.0,219.4,730.9,29.7
California,Whittier,"86,740",284.8,5.49954128440367,11.5,93.4,179.8,777.3285714285714,517.6,798.0586206896552,340.1
Delaware,Wilmington,"72,088",342.0057553956834,36.1,47.2,657.5,962.7,777.3285714285714,521.5048780487805,798.0586206896552,506.3
Minnesota,Woodbury,"63,190",342.0057553956834,5.49954128440367,28.092157534246574,11.1,17.4,777.3285714285714,305.4,798.0586206896552,76.0
Washington,Yakima,"93,419",605.9,11.8,55.7,162.7,375.7,777.3285714285714,521.5048780487805,798.0586206896552,246.1325657894737
California,Yorba Linda,"65,820",80.5,5.49954128440367,4.6,16.7,59.3,777.3285714285714,338.8,808.3,48.6
Pennsylvania,York Area Regional,"60,732",120.2,1.6,23.1,26.3,69.2,777.3285714285714,260.2,759.1,32.9
Ohio,Youngstown,"66,567",342.0057553956834,33.0,58.6,366.5,569.4,777.3285714285714,521.5048780487805,798.0586206896552,414.6
California,Yuba City,"65,653",376.2,6.1,33.5,65.5,271.1,777.3285714285714,763.1,798.0586206896552,280.3
Arizona,Yuma,"95,568",531.6,5.2,28.3,63.8,434.2,777.3285714285714,999.3,798.0586206896552,246.9
